Ingredient_Smile
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)O)C
CN1C2CCCC1CC(=O)C2
CC1=CC=C(C=C1)O
COC1=C(C2=C3C(CC4=C2C(=C(C=C4)O)O)NCCC3=C1)OC
CC=C1CN2C3CC1C(C45C3(N(C6=CC(=C(C=C64)OC)OC)C)OC2C5)(COC(=O)C7=CC(=C(C(=C7)OC)OC)OC)C(=O)OC
CC=C1C2CC3C4=NC5=CC(=C(C=C5C4(C2C(=O)OC)C6C1N3OC6O)OC)OC
C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CCCC=CC=CCCCCCCCCC=O
CCCCCC#CC#CCCCCCCCCC(=O)O
CC1=CC2=C(C=C1)C3(CCC2C(OO3)(C)C)C
CCCCCC=CC=CCCCCCCCCC(=O)OC
CCCCC=CCC=CCCCCCCCCC(=O)O
CCCCCC=CCC=CCCCCCCCC(=O)OCC
CCCCC=CCC=CCCCCCCCCC(=O)OC
CC(C)C1CCC(=C)C2CCC(C2C1)(C)O
CC1=C2C3C(=O)C4(C(CC5C(C4C(C2(CC1O)C(O3)(C)C)OC(=O)C6=CC=CC=C6)(CO5)OC(=O)C)O)C
CC1=C2C3C(=O)C4(C(CC5C(C4C(C2(CC1O)C(O3)(C)C)OC(=O)C6=CC=CC=C6)(CO5)OC(=O)C)O)C
COC(=O)C1=COC(C(C1CC(=O)O)C=C)OC2C(C(C(C(O2)COC3CC4C(C(OC=C4C(=O)O3)OC5C(C(C(C(O5)CO)O)O)O)C=C)O)O)O
COC(=O)C1=COC(C(C1CC(=O)O)C=C)OC2C(C(C(C(O2)COC3CC4C(C(OC=C4C(=O)O3)OC5C(C(C(C(O5)CO)O)O)O)C=C)O)O)O
CC1CC=CC(CC(C2C(CCC2(C=C1)C)C(C)(C)OC(=O)C)OC(=O)C)(C)O
CC1(CCCC2(C1CCC3(C2CC=C(CC3O)C=O)C=O)C)C
